lotNumber,vendor,name,vendorItemNo,quantity,price,type
2502Q,TX,calcitriol 0.25 microgram capsule; 100,APO-Calcitriol,100,17.12,Medication
2502Q,RO,calcitriol 0.25 microgram capsule; 100,Rocaltrol,100,17.12,Medication
2502Q,AF,calcitriol 0.25 microgram capsule; 100,Sical,100,17.12,Medication
2502Q,RW,calcitriol 0.25 microgram capsule; 100,Kosteo,100,17.12,Medication
2507Y,AS,DEXAMETHASONE Tablet 4 mg; 30,Dexmethsone,30,4.84,Medication
2509C,PF,DEXAMETHASONE SODIUM PHOSPHATE Injection equivalent to 4 mg dexamethasone phosphate in 1 mL; 5,Hospira Pty Limited,5,4.9,Medication
2509C,AF,DEXAMETHASONE SODIUM PHOSPHATE Injection equivalent to 4 mg dexamethasone phosphate in 1 mL; 5,Dexamethasone Mylan,5,4.9,Medication
2513G,GQ,memantine hydrochloride 20 mg tablet; 28,Memantine generichealth,28,34.43,Medication
2513G,LU,memantine hydrochloride 20 mg tablet; 28,Ebixa,28,34.43,Medication
2513G,RA,memantine hydrochloride 20 mg tablet; 28,Memantine RBX,28,34.43,Medication
2513G,TX,memantine hydrochloride 20 mg tablet; 28,APO-Memantine,28,34.43,Medication
2518M,MK,aprepitant 165 mg capsule; 1,Emend,1,97.16,Medication
2522R,RW,nortriptyline 10 mg tablet; 50,Allegron,50,5.3,Medication
2523T,RW,nortriptyline 25 mg tablet; 50,Allegron,50,6.67,Medication
2526Y,NV,rivastigmine 6 mg capsule; 56,Exelon,56,71.82,Medication
2527B,CS,tramadol hydrochloride 50 mg modified release tablet; 20,Tramal SR 50,20,2.93,Medication
2530E,PF,lincomycin 600 mg/2 mL injection; 5 x 2 mL vials,Lincocin,5,122.55,Medication
2531F,TX,galantamine 24 mg modified release capsule; 28,APO-Galantamine MR,28,33.96,Medication
2531F,RW,galantamine 24 mg modified release capsule; 28,Gamine XR,28,33.96,Medication
2531F,EA,galantamine 24 mg modified release capsule; 28,Galantamine AN SR,28,33.96,Medication
2531F,AF,galantamine 24 mg modified release capsule; 28,Galantyl,28,33.96,Medication
2531F,JC,galantamine 24 mg modified release capsule; 28,Reminyl,28,33.96,Medication
2532G,ED,donepezil hydrochloride 5 mg tablet; 28,Donepezil-GA,28,11.45,Medication
2532G,RW,donepezil hydrochloride 5 mg tablet; 28,Aridon 5,28,11.45,Medication
2532G,RA,donepezil hydrochloride 5 mg tablet; 28,Donepezil RBX,28,11.45,Medication
2532G,SZ,donepezil hydrochloride 5 mg tablet; 28,Donepezil Sandoz,28,11.45,Medication
2532G,TW,donepezil hydrochloride 5 mg tablet; 28,Terry White Chemists Donepezil,28,11.45,Medication
2532G,PF,donepezil hydrochloride 5 mg tablet; 28,Aricept,28,11.45,Medication
2532G,CH,donepezil hydrochloride 5 mg tablet; 28,Chem mart Donepezil,28,11.45,Medication
2532G,RF,donepezil hydrochloride 5 mg tablet; 28,Aridon APN 5,28,11.45,Medication
2532G,GQ,donepezil hydrochloride 5 mg tablet; 28,Donepezil generichealth,28,11.45,Medication
2532G,EA,donepezil hydrochloride 5 mg tablet; 28,Donepezil AN,28,11.45,Medication
2532G,RZ,donepezil hydrochloride 5 mg tablet; 28,Donepezil-DRLA,28,11.45,Medication
2532G,TX,donepezil hydrochloride 5 mg tablet; 28,APO-Donepezil,28,11.45,Medication
2532G,AF,donepezil hydrochloride 5 mg tablet; 28,Arazil,28,11.45,Medication
2537M,JC,galantamine 16 mg modified release capsule; 28,Reminyl,28,28.5,Medication
2537M,EA,galantamine 16 mg modified release capsule; 28,Galantamine AN SR,28,28.5,Medication
2537M,AF,galantamine 16 mg modified release capsule; 28,Galantyl,28,28.5,Medication
2537M,RW,galantamine 16 mg modified release capsule; 28,Gamine XR,28,28.5,Medication
2537M,TX,galantamine 16 mg modified release capsule; 28,APO-Galantamine MR,28,28.5,Medication
2544X,GH,biperiden hydrochloride 2 mg tablet; 100,Akineton,200,5.56,Medication
2546B,TX,imiquimod 5% cream; 12 x 250 mg sachets,APO-Imiquimod,1,70.25,Medication
2546B,QA,imiquimod 5% cream; 12 x 250 mg sachets,Aldiq,1,70.25,Medication
2546B,IA,imiquimod 5% cream; 12 x 250 mg sachets,Aldara,1,70.25,Medication
2547C,AS,melphalan 2 mg tablet; 25,Alkeran,25,56.51,Medication
2549E,RF,isotretinoin 40 mg capsule; 30,Oratane,30,30.98,Medication
2549E,ER,isotretinoin 40 mg capsule; 30,Dermatane,30,30.98,Medication
2551G,NV,rivastigmine 9.5 mg/24 hours patch; 30,Exelon Patch 10,30,64.64,Medication
2551G,AF,rivastigmine 9.5 mg/24 hours patch; 30,Rivastigmelon Patch 10,30,64.64,Medication
2554K,QA,prednisolone (as sodium phosphate) 5 mg suppository; 10,Predsol,3,9.54,Medication
2558P,PF,diazepam 10 mg/2 mL injection; 5 x 2 mL ampoules,Hospira Pty Limited,5,5.6,Medication
2560R,SB,amino acid synthetic formula supplemented with long chain polyunsaturated fatty acids powder for oral liquid; 400 g,Neocate LCP,8,37.93,Medication
2565B,AF,propranolol hydrochloride 10 mg tablet; 100,Deralin 10,100,2.56,Medication
2565B,TX,propranolol hydrochloride 10 mg tablet; 100,APO-Propranolol,100,2.56,Medication
2565B,AP,propranolol hydrochloride 10 mg tablet; 100,Inderal,100,2.56,Medication
2566C,AP,propranolol hydrochloride 40 mg tablet; 100,Inderal,100,2.81,Medication
2566C,AF,propranolol hydrochloride 40 mg tablet; 100,Deralin 40,100,2.81,Medication
2566C,TX,propranolol hydrochloride 40 mg tablet; 100,APO-Propranolol,100,2.81,Medication
2574L,TX,rosuvastatin 20 mg tablet; 30,APO-Rosuvastatin,30,11.32,Medication
2574L,CH,rosuvastatin 20 mg tablet; 30,Chem mart Rosuvastatin,30,11.32,Medication
2574L,AF,rosuvastatin 20 mg tablet; 30,Cavstat,30,11.32,Medication
2574L,TW,rosuvastatin 20 mg tablet; 30,Terry White Chemists Rosuvastatin,30,11.32,Medication
2574L,GQ,rosuvastatin 20 mg tablet; 30,Rosuvastatin GH,30,11.32,Medication
2574L,ED,rosuvastatin 20 mg tablet; 30,Rosuvastatin Actavis 20,30,11.32,Medication
2574L,ZP,rosuvastatin 20 mg tablet; 30,Crosuva 20,30,11.32,Medication
2574L,EF,rosuvastatin 20 mg tablet; 30,Rosuvastatin AMNEAL,30,11.32,Medication
2574L,RI,rosuvastatin 20 mg tablet; 30,Rosuvastatin-DRLA,30,11.32,Medication
2574L,AP,rosuvastatin 20 mg tablet; 30,Crestor,30,11.32,Medication
2574L,IB,rosuvastatin 20 mg tablet; 30,Blooms the Chemist Rosuvastatin,30,11.32,Medication
2584B,AF,rosuvastatin 10 mg tablet; 30,Cavstat,30,7.95,Medication
2584B,ED,rosuvastatin 10 mg tablet; 30,Rosuvastatin Actavis 10,30,7.95,Medication
2584B,RI,rosuvastatin 10 mg tablet; 30,Rosuvastatin-DRLA,30,7.95,Medication
2584B,AP,rosuvastatin 10 mg tablet; 30,Crestor,30,7.95,Medication
2584B,ZP,rosuvastatin 10 mg tablet; 30,Crosuva 10,30,7.95,Medication
2584B,TX,rosuvastatin 10 mg tablet; 30,APO-Rosuvastatin,30,7.95,Medication
2584B,GQ,rosuvastatin 10 mg tablet; 30,Rosuvastatin GH,30,7.95,Medication
2584B,CH,rosuvastatin 10 mg tablet; 30,Chem mart Rosuvastatin,30,7.95,Medication
2584B,TW,rosuvastatin 10 mg tablet; 30,Terry White Chemists Rosuvastatin,30,7.95,Medication
2584B,IB,rosuvastatin 10 mg tablet; 30,Blooms the Chemist Rosuvastatin,30,7.95,Medication
2584B,EF,rosuvastatin 10 mg tablet; 30,Rosuvastatin AMNEAL,30,7.95,Medication
2588F,RW,isosorbide dinitrate 5 mg sublingual tablet; 100,Isordil Sublingual,200,3.29,Medication
2590H,TX,rosuvastatin 5 mg tablet; 30,APO-Rosuvastatin,30,5.41,Medication
2590H,AP,rosuvastatin 5 mg tablet; 30,Crestor,30,5.41,Medication
2590H,EF,rosuvastatin 5 mg tablet; 30,Rosuvastatin AMNEAL,30,5.41,Medication
2590H,AF,rosuvastatin 5 mg tablet; 30,Cavstat,30,5.41,Medication
2590H,RI,rosuvastatin 5 mg tablet; 30,Rosuvastatin-DRLA,30,5.41,Medication
2590H,GQ,rosuvastatin 5 mg tablet; 30,Rosuvastatin GH,30,5.41,Medication
2590H,IB,rosuvastatin 5 mg tablet; 30,Blooms the Chemist Rosuvastatin,30,5.41,Medication
2590H,ZP,rosuvastatin 5 mg tablet; 30,Crosuva 5,30,5.41,Medication
2590H,CH,rosuvastatin 5 mg tablet; 30,Chem mart Rosuvastatin,30,5.41,Medication
2590H,TW,rosuvastatin 5 mg tablet; 30,Terry White Chemists Rosuvastatin,30,5.41,Medication
2591J,EA,isotretinoin 10 mg capsule; 60,Isotretinoin AN,60,22.02,Medication
2591J,RF,isotretinoin 10 mg capsule; 60,Oratane,60,22.02,Medication
2591J,RO,isotretinoin 10 mg capsule; 60,Roaccutane,60,22.02,Medication
2591J,ER,isotretinoin 10 mg capsule; 60,Dermatane,60,22.02,Medication
2591J,RW,isotretinoin 10 mg capsule; 60,Rocta 10,60,22.02,Medication
2591J,TX,isotretinoin 10 mg capsule; 60,APO-Isotretinoin,60,22.02,Medication
2592K,EA,isotretinoin 20 mg capsule; 60,Isotretinoin AN,60,34.32,Medication
2592K,RW,isotretinoin 20 mg capsule; 60,Rocta 20,60,34.32,Medication
2592K,RF,isotretinoin 20 mg capsule; 60,Oratane,60,34.32,Medication
2592K,CR,isotretinoin 20 mg capsule; 60,Isotretinoin SCP 20,60,34.32,Medication
2592K,ER,isotretinoin 20 mg capsule; 60,Dermatane,60,34.32,Medication
2592K,TX,isotretinoin 20 mg capsule; 60,APO-Isotretinoin,60,34.32,Medication
2592K,RO,isotretinoin 20 mg capsule; 60,Roaccutane,60,34.32,Medication
2593L,SI,iron (as polymaltose) 100 mg/2 mL injection; 5 x 2 mL ampoules,Ferrosig,5,11.72,Medication
2593L,AS,iron (as polymaltose) 100 mg/2 mL injection; 5 x 2 mL ampoules,Ferrum H,5,11.72,Medication
2594M,ED,rosuvastatin 40 mg tablet; 30,Rosuvastatin Actavis 40,30,16.14,Medication
2594M,TX,rosuvastatin 40 mg tablet; 30,APO-Rosuvastatin,30,16.14,Medication
2594M,IB,rosuvastatin 40 mg tablet; 30,Blooms the Chemist Rosuvastatin,30,16.14,Medication
2594M,CH,rosuvastatin 40 mg tablet; 30,Chem mart Rosuvastatin,30,16.14,Medication
2594M,AF,rosuvastatin 40 mg tablet; 30,Cavstat,30,16.14,Medication
2594M,EF,rosuvastatin 40 mg tablet; 30,Rosuvastatin AMNEAL,30,16.14,Medication
2594M,TW,rosuvastatin 40 mg tablet; 30,Terry White Chemists Rosuvastatin,30,16.14,Medication
2594M,ZP,rosuvastatin 40 mg tablet; 30,Crosuva 40,30,16.14,Medication
2594M,AP,rosuvastatin 40 mg tablet; 30,Crestor,30,16.14,Medication
2594M,GQ,rosuvastatin 40 mg tablet; 30,Rosuvastatin GH,30,16.14,Medication
2594M,RI,rosuvastatin 40 mg tablet; 30,Rosuvastatin-DRLA,30,16.14,Medication
2595N,AQ,pilocarpine hydrochloride 1% eye drops; 15 mL,Isopto Carpine,1,4.94,Medication
2596P,AQ,pilocarpine hydrochloride 2% eye drops; 15 mL,Isopto Carpine,1,5.95,Medication
2598R,AQ,pilocarpine hydrochloride 4% eye drops; 15 mL,Isopto Carpine,1,8.26,Medication
2600W,RW,allopurinol 100 mg tablet; 200,Zyloprim,200,4.52,Medication
2600W,SZ,allopurinol 100 mg tablet; 200,Allopurinol Sandoz,200,4.52,Medication
2600W,CH,allopurinol 100 mg tablet; 200,Chem mart Allopurinol,200,4.52,Medication
2600W,TW,allopurinol 100 mg tablet; 200,Terry White Chemists Allopurinol,200,4.52,Medication
2600W,RF,allopurinol 100 mg tablet; 200,Allosig,200,4.52,Medication
2600W,AF,allopurinol 100 mg tablet; 200,Progout 100,200,4.52,Medication
2600W,TX,allopurinol 100 mg tablet; 200,APO-Allopurinol,200,4.52,Medication
2604C,RF,allopurinol 300 mg tablet; 60,Allosig,60,3.27,Medication
2604C,CH,allopurinol 300 mg tablet; 60,Chem mart Allopurinol,60,3.27,Medication
2604C,SZ,allopurinol 300 mg tablet; 60,Allopurinol Sandoz,60,3.27,Medication
2604C,TW,allopurinol 300 mg tablet; 60,Terry White Chemists Allopurinol,60,3.27,Medication
2604C,RW,allopurinol 300 mg tablet; 60,Zyloprim,60,3.27,Medication
2604C,AF,allopurinol 300 mg tablet; 60,Progout 300,60,3.27,Medication
2604C,TX,allopurinol 300 mg tablet; 60,APO-Allopurinol,60,3.27,Medication
2605D,FM,digoxin 62.5 microgram tablet; 200,Sigmaxin-PG,200,3.24,Medication
2605D,QA,digoxin 62.5 microgram tablet; 200,Lanoxin-PG,200,3.24,Medication
2606E,GQ,rosuvastatin 5 mg tablet; 30,Rosuvastatin GH,30,5.41,Medication
2606E,RI,rosuvastatin 5 mg tablet; 30,Rosuvastatin-DRLA,30,5.41,Medication
2606E,IB,rosuvastatin 5 mg tablet; 30,Blooms the Chemist Rosuvastatin,30,5.41,Medication
2606E,TX,rosuvastatin 5 mg tablet; 30,APO-Rosuvastatin,30,5.41,Medication
2606E,CH,rosuvastatin 5 mg tablet; 30,Chem mart Rosuvastatin,30,5.41,Medication
2606E,ZP,rosuvastatin 5 mg tablet; 30,Crosuva 5,30,5.41,Medication
2606E,EF,rosuvastatin 5 mg tablet; 30,Rosuvastatin AMNEAL,30,5.41,Medication
2606E,TW,rosuvastatin 5 mg tablet; 30,Terry White Chemists Rosuvastatin,30,5.41,Medication
2606E,AF,rosuvastatin 5 mg tablet; 30,Cavstat,30,5.41,Medication
2606E,AP,rosuvastatin 5 mg tablet; 30,Crestor,30,5.41,Medication
2608G,IA,pyridostigmine bromide 180 mg modified release tablet; 50,Mestinon Timespan,100,57.35,Medication
2609H,AP,rosuvastatin 20 mg tablet; 30,Crestor,30,11.32,Medication
2609H,ED,rosuvastatin 20 mg tablet; 30,Rosuvastatin Actavis 20,30,11.32,Medication
2609H,CH,rosuvastatin 20 mg tablet; 30,Chem mart Rosuvastatin,30,11.32,Medication
2609H,TW,rosuvastatin 20 mg tablet; 30,Terry White Chemists Rosuvastatin,30,11.32,Medication
2609H,ZP,rosuvastatin 20 mg tablet; 30,Crosuva 20,30,11.32,Medication
2609H,GQ,rosuvastatin 20 mg tablet; 30,Rosuvastatin GH,30,11.32,Medication
2609H,IB,rosuvastatin 20 mg tablet; 30,Blooms the Chemist Rosuvastatin,30,11.32,Medication
2609H,EF,rosuvastatin 20 mg tablet; 30,Rosuvastatin AMNEAL,30,11.32,Medication
2609H,RI,rosuvastatin 20 mg tablet; 30,Rosuvastatin-DRLA,30,11.32,Medication
2609H,TX,rosuvastatin 20 mg tablet; 30,APO-Rosuvastatin,30,11.32,Medication
2609H,AF,rosuvastatin 20 mg tablet; 30,Cavstat,30,11.32,Medication
2614N,IA,theophylline 133.3 mg/25 mL oral liquid; 500 mL,Nuelin,1,5.2,Medication
2622B,QA,oxycodone hydrochloride 5 mg tablet; 20,Endone,20,2.16,Medication
2622B,YN,oxycodone hydrochloride 5 mg tablet; 20,Mayne Pharma Oxycodone IR,20,2.16,Medication
2622B,FM,oxycodone hydrochloride 5 mg tablet; 20,Oxycodone Aspen,20,2.16,Medication
2626F,SW,ramipril 2.5 mg + felodipine 2.5 mg modified release tablet; 30,Triasyn 2.5/2.5,30,4.56,Medication
2628H,TW,rosuvastatin 10 mg tablet; 30,Terry White Chemists Rosuvastatin,30,7.95,Medication
2628H,GQ,rosuvastatin 10 mg tablet; 30,Rosuvastatin GH,30,7.95,Medication
2628H,AF,rosuvastatin 10 mg tablet; 30,Cavstat,30,7.95,Medication
2628H,EF,rosuvastatin 10 mg tablet; 30,Rosuvastatin AMNEAL,30,7.95,Medication
2628H,TX,rosuvastatin 10 mg tablet; 30,APO-Rosuvastatin,30,7.95,Medication
2628H,ED,rosuvastatin 10 mg tablet; 30,Rosuvastatin Actavis 10,30,7.95,Medication
2628H,ZP,rosuvastatin 10 mg tablet; 30,Crosuva 10,30,7.95,Medication
2628H,RI,rosuvastatin 10 mg tablet; 30,Rosuvastatin-DRLA,30,7.95,Medication
2628H,AP,rosuvastatin 10 mg tablet; 30,Crestor,30,7.95,Medication
2628H,CH,rosuvastatin 10 mg tablet; 30,Chem mart Rosuvastatin,30,7.95,Medication
2628H,IB,rosuvastatin 10 mg tablet; 30,Blooms the Chemist Rosuvastatin,30,7.95,Medication
2629J,SW,ramipril 5 mg + felodipine 5 mg modified release tablet; 30,Triasyn 5.0/5.0,30,6.27,Medication
2634P,IA,theophylline 250 mg modified release tablet; 100,Nuelin-SR 250,100,5.3,Medication
2636R,ZP,rosuvastatin 40 mg tablet; 30,Crosuva 40,30,16.14,Medication
2636R,RI,rosuvastatin 40 mg tablet; 30,Rosuvastatin-DRLA,30,16.14,Medication
2636R,AP,rosuvastatin 40 mg tablet; 30,Crestor,30,16.14,Medication
2636R,ED,rosuvastatin 40 mg tablet; 30,Rosuvastatin Actavis 40,30,16.14,Medication
2636R,AF,rosuvastatin 40 mg tablet; 30,Cavstat,30,16.14,Medication
2636R,GQ,rosuvastatin 40 mg tablet; 30,Rosuvastatin GH,30,16.14,Medication
2636R,IB,rosuvastatin 40 mg tablet; 30,Blooms the Chemist Rosuvastatin,30,16.14,Medication
2636R,TX,rosuvastatin 40 mg tablet; 30,APO-Rosuvastatin,30,16.14,Medication
2636R,EF,rosuvastatin 40 mg tablet; 30,Rosuvastatin AMNEAL,30,16.14,Medication
2636R,TW,rosuvastatin 40 mg tablet; 30,Terry White Chemists Rosuvastatin,30,16.14,Medication
2636R,CH,rosuvastatin 40 mg tablet; 30,Chem mart Rosuvastatin,30,16.14,Medication
2637T,IA,imiquimod 5% cream; 2 x 2 g,Aldara Pump,1,70.25,Medication
2639X,VF,amino acid formula with vitamins and minerals without methionine oral liquid; 30 x 87 mL sachets,HCU cooler 10,4,467.4,Medication
2640Y,VF,amino acid formula with vitamins and minerals without methionine oral liquid; 30 x 174 mL sachets,HCU cooler 20,4,934.8,Medication
2642C,NM,potassium chloride 600 mg (potassium 8 mmol) modified release tablet; 100,Duro-K,200,3.8,Medication
2642C,NV,potassium chloride 600 mg (potassium 8 mmol) modified release tablet; 100,Slow-K,200,3.8,Medication
2644E,QH,glycomacropeptide and essential amino acids with vitamins and minerals bar; 7 x 81 g,Camino Pro Complete,14,83.61,Medication
2646G,SB,amino acid formula with vitamins and minerals without lysine and low in tryptophan powder for oral liquid; 500 g,XLYS; LOW TRY Maxamaid,8,194.75,Medication
2647H,CS,benzylpenicillin 3 g injection; 1 vial,BenPen,10,8.08,Medication
2650L,SB,amino acid formula with vitamins and minerals without lysine and low in tryptophan powder for oral liquid; 400 g,GA1 Anamix infant,8,81.02,Medication
2651M,VF,amino acid formula with vitamins and minerals without valine; leucine and isoleucine oral liquid; 30 x 87 mL pouches,MSUD cooler 10,4,467.4,Medication
2652N,SB,high fat formula with vitamins; minerals and trace elements and low in protein and carbohydrate (3:1 ratio long chain fat to carbohydrate plus protein) powder for oral liquid; 300 g,KetoCal 3:1,24,36.5,Medication
2654Q,VF,amino acid formula with vitamins and minerals without valine; leucine and isoleucine oral liquid; 30 x 174 mL pouches,MSUD cooler 20,4,934.8,Medication
2655R,ED,cephalexin 250 mg capsule; 20,Cilex,40,1.59,Medication
2655R,EA,cephalexin 250 mg capsule; 20,Cephalexin AN,40,1.59,Medication
2655R,AS,cephalexin 250 mg capsule; 20,Keflex,40,1.59,Medication
2655R,CH,cephalexin 250 mg capsule; 20,Chem mart Cephalexin,40,1.59,Medication
2655R,SZ,cephalexin 250 mg capsule; 20,Cefalexin Sandoz,40,1.59,Medication
2655R,TW,cephalexin 250 mg capsule; 20,Terry White Chemists Cephalexin,40,1.59,Medication
2655R,LN,cephalexin 250 mg capsule; 20,Ialex,40,1.59,Medication
2655R,RA,cephalexin 250 mg capsule; 20,Rancef,40,1.59,Medication
2655R,CR,cephalexin 250 mg capsule; 20,Cephalex 250,40,1.59,Medication
2655R,AF,cephalexin 250 mg capsule; 20,Ibilex 250,40,1.59,Medication
2655R,TX,cephalexin 250 mg capsule; 20,APO-Cephalexin,40,1.59,Medication
2666H,AF,trimethoprim 300 mg tablet; 7,Alprim,14,1.58,Medication
2666H,RW,trimethoprim 300 mg tablet; 7,Triprim,14,1.58,Medication
2667J,SW,vigabatrin 500 mg tablet; 100,Sabril,100,90.25,Medication
2668K,SW,vigabatrin 500 mg powder for oral liquid; 60 sachets,Sabril,60,58.42,Medication
2669L,ON,diazepam 1 mg/mL oral liquid; 100 mL,Diazepam Elixir,1,29.63,Medication
2674R,VF,amino acid formula with vitamins and minerals without phenylalanine and tyrosine oral liquid; 30 x 87 mL sachets,TYR cooler 10,4,467.4,Medication
2676W,NT,protein hydrolysate formula with medium chain triglycerides powder for oral liquid; 400 g,Alfare,8,16.62,Medication
2682E,AG,polyvinyl alcohol 1.4% eye drops; 15 mL,Liquifilm Tears,1,3.12,Medication
2682E,PE,polyvinyl alcohol 1.4% eye drops; 15 mL,PVA Tears,1,3.12,Medication
2687K,EA,azathioprine 50 mg tablet; 100,Azathioprine AN,100,24.11,Medication
2687K,ER,azathioprine 50 mg tablet; 100,Imazan,100,24.11,Medication
2687K,AF,azathioprine 50 mg tablet; 100,Thioprine 50,100,24.11,Medication
2687K,TX,azathioprine 50 mg tablet; 100,APO-Azathioprine,100,24.11,Medication
2687K,ED,azathioprine 50 mg tablet; 100,Azamun,100,24.11,Medication
2687K,RW,azathioprine 50 mg tablet; 100,Azapin,100,24.11,Medication
2687K,SZ,azathioprine 50 mg tablet; 100,Azathioprine Sandoz,100,24.11,Medication
2687K,AS,azathioprine 50 mg tablet; 100,Imuran,100,24.11,Medication
2687K,GQ,azathioprine 50 mg tablet; 100,Azathioprine GH,100,24.11,Medication
2688L,SZ,azathioprine 25 mg tablet; 100,Azathioprine Sandoz,100,14.16,Medication
2688L,AS,azathioprine 25 mg tablet; 100,Imuran,100,14.16,Medication
2688L,TX,azathioprine 25 mg tablet; 100,APO-Azathioprine,100,14.16,Medication
2688L,GQ,azathioprine 25 mg tablet; 100,Azathioprine GH,100,14.16,Medication
2691P,BN,rivaroxaban 15 mg tablet; 28,Xarelto,28,70.76,Medication
2692Q,PF,phenytoin 30 mg/5 mL oral liquid; 500 mL,Dilantin,1,18.34,Medication
2694T,MK,betamethasone (as sodium phosphate) 2.96 mg/mL + betamethasone (as acetate) 2.71 mg/mL injection; 5 x 1 mL ampoules,Celestone Chronodose,5,15.03,Medication
2696X,QH,glycomacropeptide and essential amino acids with vitamins and minerals bar; 7 x 54 g,Camino Pro Complete,14,54.94,Medication
2698B,JC,abiraterone acetate 250 mg tablet; 120,Zytiga,120,3453.54,Medication
2700D,GZ,thyrotropin alfa 900 microgram injection; 2 vials,Thyrogen,1,1667.31,Medication
2701E,VF,amino acid formula with vitamins and minerals without phenylalanine and tyrosine oral liquid; 30 x 174 mL sachets,TYR cooler 20,4,934.8,Medication
2702F,RW,doxycycline 100 mg tablet; 7,Doxsig,28,1.36,Medication
2702F,AF,doxycycline 100 mg tablet; 7,Doxylin 100,28,1.36,Medication
2702F,EA,doxycycline 100 mg tablet; 7,Doxycycline AN,28,1.36,Medication
2703G,YT,doxycycline 100 mg modified release capsule; 7,Mayne Pharma Doxycycline,28,1.36,Medication
2703G,YN,doxycycline 100 mg modified release capsule; 7,Doryx,28,1.36,Medication
2707L,YT,doxycycline 50 mg modified release capsule; 25,Mayne Pharma Doxycycline,25,2.17,Medication
2707L,YN,doxycycline 50 mg modified release capsule; 25,Doryx,25,2.17,Medication
2708M,YT,doxycycline 100 mg modified release capsule; 7,Mayne Pharma Doxycycline,7,1.36,Medication
2708M,YN,doxycycline 100 mg modified release capsule; 7,Doryx,7,1.36,Medication
2709N,EA,doxycycline 100 mg tablet; 7,Doxycycline AN,7,1.36,Medication
2709N,RW,doxycycline 100 mg tablet; 7,Doxsig,7,1.36,Medication
2709N,AF,doxycycline 100 mg tablet; 7,Doxylin 100,7,1.36,Medication
2711Q,EA,doxycycline 50 mg tablet; 25,Doxycycline AN,25,2.17,Medication
2711Q,AF,doxycycline 50 mg tablet; 25,Doxylin 50,25,2.17,Medication
2714W,EA,doxycycline 100 mg tablet; 7,Doxycycline AN,21,1.36,Medication
2714W,AF,doxycycline 100 mg tablet; 7,Doxylin 100,21,1.36,Medication
2714W,RW,doxycycline 100 mg tablet; 7,Doxsig,21,1.36,Medication
2715X,YN,doxycycline 100 mg modified release capsule; 21,Doryx,21,4.08,Medication
2715X,YT,doxycycline 100 mg modified release capsule; 21,Mayne Pharma Doxycycline,21,4.08,Medication
2721F,AL,penicillamine 125 mg tablet; 100,D-Penamine,100,19.37,Medication
2722G,PF,medroxyprogesterone acetate 10 mg tablet; 100,Provera,100,21.3,Medication
2722G,FZ,medroxyprogesterone acetate 10 mg tablet; 100,Ralovera,100,21.3,Medication
2723H,AF,nitrazepam 5 mg tablet; 25,Alodorm,25,1.5,Medication
2723H,IA,nitrazepam 5 mg tablet; 25,Mogadon,25,1.5,Medication
2724J,IA,PYRIDOSTIGMINE BROMIDE Tablet 10 mg; 50,Mestinon,100,6.37,Medication
2725K,PF,medroxyprogesterone acetate 100 mg tablet; 100,Provera,100,81.5,Medication
2727M,PF,medroxyprogesterone acetate 250 mg tablet; 60,Provera,60,116.36,Medication
2728N,PF,medroxyprogesterone acetate 500 mg tablet; 30,Provera,30,116.36,Medication
2729P,NV,baclofen 10 mg tablet; 100,Lioresal 10,100,10.38,Medication
2729P,GX,baclofen 10 mg tablet; 100,GenRx Baclofen,100,10.38,Medication
2729P,CH,baclofen 10 mg tablet; 100,Chem mart Baclofen,100,10.38,Medication
2729P,AF,baclofen 10 mg tablet; 100,Clofen 10,100,10.38,Medication
2729P,TW,baclofen 10 mg tablet; 100,Terry White Chemists Baclofen,100,10.38,Medication
2729P,RW,baclofen 10 mg tablet; 100,Stelax 10,100,10.38,Medication
2730Q,CH,baclofen 25 mg tablet; 100,Chem mart Baclofen,100,22.68,Medication
2730Q,NV,baclofen 25 mg tablet; 100,Lioresal 25,100,22.68,Medication
2730Q,AF,baclofen 25 mg tablet; 100,Clofen 25,100,22.68,Medication
2730Q,TW,baclofen 25 mg tablet; 100,Terry White Chemists Baclofen,100,22.68,Medication
2730Q,GX,baclofen 25 mg tablet; 100,GenRx Baclofen,100,22.68,Medication
2730Q,RW,baclofen 25 mg tablet; 100,Stelax 25,100,22.68,Medication
2732T,IA,nitrazepam 5 mg tablet; 25,Mogadon,50,1.5,Medication
2732T,AF,nitrazepam 5 mg tablet; 25,Alodorm,50,1.5,Medication
2735Y,BQ,apixaban 5 mg tablet; 60,Eliquis,60,80.12,Medication
2738D,SB,amino acid formula with vitamins and minerals without phenylalanine powder for oral liquid; 500 g,XP Maxamaid,8,93.2,Medication
2739E,SB,amino acid formula with vitamins and minerals without phenylalanine powder for oral liquid; 500 g,XP Maxamum,8,145.39,Medication
2742H,AF,flutamide 250 mg tablet; 30,Flutamide MYLAN,3,44.4,Medication
2744K,BQ,apixaban 2.5 mg tablet; 60,Eliquis,60,80.13,Medication
2746M,AE,tropisetron 5 mg/5 mL injection; 5 mL ampoule,Tropisetron-AFT,1,4.57,Medication
2748P,MF,tafluprost 0.0015% eye drops; 30 x 0.3 mL unit doses,Saflutan,1,22.16,Medication
2750R,GH,erythromycin (as ethylsuccinate) 400 mg tablet; 25,E.E.S. 400 Filmtab,25,4.56,Medication
2750R,AF,erythromycin (as ethylsuccinate) 400 mg tablet; 25,E-Mycin,25,4.56,Medication
